"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"402",2,4,4,2,1,22
"403",2,3,2,2,1,9
"404",2,4,1,7,7,13
"405",2,2,3,3,3,10
"406",2,4,1,3,3,9
"407",1,4,2,2,2,12
"408",2,3,4,3,3,8
"409",1,4,3,5,4,12
"410",1,3,3,5,4,16
"411",1,3,3,5,4,14
"412",2,NA,4,1,1,19
"413",1,4,4,1,1,29
"414",1,3,2,1,1,14
"415",1,3,3,2,1,24
"416",1,5,3,3,2,28
"417",1,5,3,1,1,23
"418",1,2,2,1,1,17
"419",1,4,2,5,5,14
"420",1,2,2,6,7,15
"421",2,2,1,2,2,22
"422",NA,5,3,7,7,21
"423",1,4,3,7,7,8
"424",1,5,2,5,6,15
"425",1,5,3,NA,7,7
"426",2,5,1,5,NA,2
"427",1,2,4,5,5,22
"428",2,4,2,6,6,8
"429",1,5,2,4,4,17
"430",2,4,2,7,7,8
"431",1,6,3,4,6,16
"432",1,4,2,1,1,11
"433",1,6,2,7,7,18
"434",2,4,NA,2,2,8
"435",2,2,4,7,7,14
"436",1,6,1,1,NA,12
"437",1,4,2,3,NA,15
"438",1,4,2,7,7,15
"439",1,2,2,NA,NA,19
"440",1,5,1,5,5,21
"441",1,6,2,7,7,15
"442",1,6,4,7,7,16
"443",1,4,4,7,7,10
"444",1,5,2,4,4,13
"445",1,4,4,4,4,11
"446",1,5,3,NA,NA,8
"447",1,5,4,6,6,13
"448",2,4,4,6,6,11
"449",2,7,5,5,5,8
"450",2,3,3,5,6,9
"451",1,3,3,4,6,11
"452",1,4,4,7,4,8
"453",2,5,4,7,4,11
"454",1,4,2,NA,NA,15
"455",2,2,1,1,NA,16
"456",2,2,3,7,6,11
"457",1,2,3,6,6,9
"458",1,6,5,7,7,11
"459",2,3,5,7,7,16
"460",1,4,4,1,1,11
"461",2,3,4,1,1,17
"462",1,5,2,1,1,14
"463",2,3,2,6,6,8
"464",1,4,5,5,NA,4
"465",2,4,3,2,2,6
"466",1,NA,3,3,4,14
"467",1,4,3,7,7,1
"468",1,5,4,6,6,22
"469",2,3,3,5,4,13
"470",1,3,3,7,7,1
"471",2,2,4,3,4,15
"472",1,4,4,1,1,8
"473",1,1,2,1,1,12
"474",2,3,2,2,2,11
"475",1,1,2,2,2,10
"476",2,3,1,1,1,17
"477",1,4,3,4,4,15
"478",1,2,3,1,1,9
"479",1,5,1,1,1,20
"480",2,4,2,5,4,9
"481",1,4,2,7,7,11
"482",1,5,3,7,7,12
"483",1,6,3,4,4,17
"484",1,5,3,7,7,22
"485",2,4,0,3,3,18
"486",2,4,3,7,6,14
"487",1,4,2,3,4,22
"488",2,1,2,1,1,30
"489",1,4,5,2,1,21
"490",2,1,5,2,2,22
"491",1,5,2,4,4,10
"492",1,5,3,6,NA,8
"493",1,5,2,3,3,18
"494",1,4,3,7,7,11
"495",1,2,3,7,7,11
"496",1,5,2,6,5,21
"497",2,4,6,6,3,9
"498",2,3,2,2,2,14
"499",1,2,2,4,4,16
"500",1,4,2,2,1,17
"501",1,3,2,2,NA,15
"502",2,4,3,5,5,13
"503",1,4,5,7,7,4
"504",1,4,5,1,1,14
"505",2,4,NA,4,4,8
"506",2,4,2,7,7,7
"507",1,4,1,1,NA,12
"508",2,4,3,7,7,1
"509",1,3,1,2,1,11
"510",2,5,5,7,7,13
"511",2,2,3,4,4,8
"512",1,2,3,5,5,8
"513",1,4,4,7,7,10
"514",1,4,2,2,2,5
"515",2,4,NA,7,1,2
