Cultivar,Anthrac,Rust,GrainM,Seedwt,%Germ,Pani Hght,Pani Length,Grain Yld,Julian days
PI534131,,,,,,110,30,,
PI534121,,,,,,135,10,,
PI534116,,,,,,130,30,,
PI534115,,,,,,95,15,,
PI533918,,,,,,100,15,,
PI533903,,,,,,170,25,,
PI330821,,,,,,,,,
PI330819,,,,,,170,20,,
PI330764,,,,,,,,,
PI330288,,,,,,,,,
PI330261,,,,,,,,,
PI330255,,,,,,,,,
PI330230,,,,,,,,,
PI330004,,,,,,,,,
PI330000,,,,,,310,20,,
PI329968,,,,,,,,,
PI329697,,,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,250,50,,
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,
PI267624,,,,,,130,10,,
PI267618,,,,,,110,15,,
PI267606,,,,,,140,15,,
PI267588,,,,,,150,20,,
PI267565,,,,,,200,25,,
PI267557,,,,,,165,30,,
PI257601,,,,,,,,,
PI251637,,,,,,130,10,,
PI197462,,,,,,165,30,,
PI194355,,,,,,95,10,,
PI148101,,,,,,190,25,,
PI148086,,,,,,,,,
PI147833,,,,,,,,,
PI663869,,,,,,,,,
PI330271,,,,,,,,,
PI533923,,,,,,170,15,,
PI533920,,,,,,95,20,,
PI533828,,,,,,120,20,,
PI533800,,,,,,100,10,,
PI533799,,,,,,85,15,,
PI533792,,,,,,,,,
PI534001,,,,,,110,25,,
PI514502,,,,,,,,,
PI514496,,,,,,210,35,,
PI514485,,,,,,,,,
PI514484,,,,,,,,,
PI514474,,,,,,250,35,,
PI514472,,,,,,,,,
PI514471,,,,,,,,,
PI514470,,,,,,,,,
PI514467,,,,,,,,,
PI514460,,,,,,,,,
PI514457,,,,,,,,,
PI514456,,,,,,,,,
PI514455,,,,,,,,,
PI514454,,,,,,,,,
PI514453,,,,,,,,,
PI514440,,,,,,310,25,,
PI514437,,,,,,300,50,,
PI514431,,,,,,390,60,,
PI514429,,,,,,310,65,,
PI514415,,,,,,,,,
PI514414,,,,,,270,35,,
PI514413,,,,,,,,,
PI514412,,,,,,210,35,,
PI514411,,,,,,,,,
PI514409,,,,,,250,45,,
PI514406,,,,,,,,,
PI514399,,,,,,195,20,,
PI514398,,,,,,195,30,,
PI514394,,,,,,155,20,,
PI514393,,,,,,160,30,,
PI514392,,,,,,200,35,,
PI514386,,,,,,,,,
PI514385,,,,,,,,,
PI514365,,,,,,,,,
PI514348,,,,,,310,40,,
PI514347,,,,,,340,40,,
PI514338,,,,,,,,,
PI514318,,,,,,,,,
PI514310,,,,,,165,25,,
PI514308,,,,,,180,30,,
PI514288,,,,,,230,15,,
PI514287,,,,,,280,20,,
PI514286,,,,,,220,20,,
PI514285,,,,,,290,25,,
PI514281,,,,,,,,,
PI514280,,,,,,310,15,,
PI514279,,,,,,250,30,,
PI669795,,,,,,,,,
PI669704,,,,,,200,30,,
PI669703,,,,,,135,25,,
PI669702,,,,,,180,25,,
PI669699,,,,,,175,25,,
PI669698,,,,,,185,25,,
PI669639,,,,,,,,,
PI669638,,,,,,190,25,,
PI669637,,,,,,160,20,,
PI669636,,,,,,,,,
PI668763,,,,,,180,25,,
PI668757,,,,,,210,20,,
PI668726,,,,,,230,30,,
PI668723,,,,,,215,25,,
PI668717,,,,,,260,50,,
PI514531,,,,,,,,,
PI514521,,,,,,,,,
PI514519,,,,,,,,,
PI514516,,,,,,,,,
PI514507,,,,,,220,40,,
PI514506,,,,,,260,45,,
PI514505,,,,,,200,40,,
PI665169,,,,,,220,25,,
PI665168,,,,,,,,,
PI665167,,,,,,220,20,,
PI514580,,,,,,,,,
PI514578,,,,,,,,,
PI514577,,,,,,,,,
PI514562,,,,,,270,55,,
PI514558,,,,,,,,,
PI514551,,,,,,265,55,,
PI514546,,,,,,,,,
PI514538,,,,,,,,,
PI514534,,,,,,220,45,,
PI514533,,,,,,,,,
PI514605,,,,,,160,15,,
PI514603,,,,,,,,,
PI514602,,,,,,,,,
PI514601,,,,,,160,20,,
PI514597,,,,,,280,35,,
PI514595,,,,,,,,,
PI514589,,,,,,,,,
PI514583,,,,,,300,50,,
PI514582,,,,,,,,,
PI514581,,,,,,,,,
PI533861,,,,,,,,,
PI522145,,,,,,,,,
PI514614,,,,,,,,,
PI514613,,,,,,270,45,,
PI514612,,,,,,280,50,,
PI514611,,,,,,255,60,,
PI514610,,,,,,,,,
PI514609,,,,,,,,,
PI514608,,,,,,,,,
PI514606,,,,,,260,45,,
PI665159,,,,,,,,,
PI656032,,,,,,190,40,,
PI647797,,,,,,,,,
PI647745,,,,,,,,,
PI647732,,,,,,,,,
PI647721,,,,,,,,,
PI576432,,,,,,310,30,,
PI563485,,,,,,250,40,,
PI563484,,,,,,,,,
PI563482,,,,,,210,20,,
RTx2536 (PI656010),,,,,,120,30,,
BTx623,,,,,,160,30,,
PI609251,,,,,,280,25,,
SC748,,,,,,130,25,,
TAM428,,,,,,150,25,,
SC719,,,,,,160,20,,
TX2911(PI607931),,,,,,,,,
QL3 (PI656060),,,,,,170,30,,
Theis (PI651497),,,,,,160,25,,
Brandeis (PI576436),,,,,,175,20,,
SC326-6,,,,,,80,30,,
SC328C,,,,,,90,25,,
SC414-12E,,,,,,135,30,,
BTx378,,,,,,150,20,,
BTx398,,,,,,160,15,,
SC283,,,,,,145,30,,
SC112-14,,,,,,115,15,,
IS18760,,,,,,240,35,,
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,,
