Cultivar,Anthrac,Rust,GrainM,Seedwt,%Germ,Pani Hght,Pani Length,Grain Yld,Julian days
PI533903,2,1,4,2,76.7,140,25,8.827,112
PI330821,2,1,,,,,,,
PI330819,2,6,3,2.5,79.7,145,25,24.534,112
PI330764,2,6,,,,,,,
PI330288,2,6,3,2.4,53.7,230,30,10.149,142
PI330261,2,1,3,3.3,86.3,220,10,1.706,127
PI330255,,,,,,,,,
PI330230,2,6,3,2.5,35.5,290,10,4.393,112
PI330004,2,4,,,,,,,
PI330000,2,4,5,3.8,46,350,35,,
PI329968,2,3,3,2.1,91.3,210,30,,
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,2,2,3,0.9,88,250,55,,
PI276832,,,,,,,,,
PI276822,2,3,,,,,,,
